title,price,availability,product_page,star_rating
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,In stock,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,4
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,In stock,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,5
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74,In stock,https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html,4
Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55,In stock,https://books.toscrape.com/catalogue/tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html,1
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",£55.91,In stock,https://books.toscrape.com/catalogue/the-fabric-of-the-cosmos-space-time-and-the-texture-of-reality_572/index.html,1
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,£28.41,In stock,https://books.toscrape.com/catalogue/diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517/index.html,1
The Origin of Species,£10.01,In stock,https://books.toscrape.com/catalogue/the-origin-of-species_499/index.html,4
The Grand Design,£13.76,In stock,https://books.toscrape.com/catalogue/the-grand-design_405/index.html,3
Peak: Secrets from the New Science of Expertise,£16.28,In stock,https://books.toscrape.com/catalogue/peak-secrets-from-the-new-science-of-expertise_389/index.html,2
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",£13.03,In stock,https://books.toscrape.com/catalogue/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html,4
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",£57.35,In stock,https://books.toscrape.com/catalogue/the-disappearing-spoon-and-other-true-tales-of-madness-love-and-the-history-of-the-world-from-the-periodic-table-of-the-elements_244/index.html,5
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",£25.83,In stock,https://books.toscrape.com/catalogue/surely-youre-joking-mr-feynman-adventures-of-a-curious-character_227/index.html,2
Seven Brief Lessons on Physics,£30.60,In stock,https://books.toscrape.com/catalogue/seven-brief-lessons-on-physics_219/index.html,4
The Selfish Gene,£29.45,In stock,https://books.toscrape.com/catalogue/the-selfish-gene_81/index.html,1
